Question,Answer
"What are the common types of ensemble methods?","Common ensemble methods include Bagging (e.g., Random Forest), Boosting (e.g., AdaBoost, Gradient Boosting), and Stacking, each with different approaches to combining models."
"What is Bagging in ensemble methods?","Bagging, or Bootstrap Aggregating, involves training multiple models on different random subsets of the data and averaging their predictions to reduce variance and avoid overfitting."
"What is Boosting in ensemble methods?","Boosting is an iterative technique where models are trained sequentially, with each new model focusing on correcting errors made by previous models, thereby reducing bias and variance."
"What is Random Forest, and how does it work?","Random Forest is an ensemble method that uses multiple decision trees trained on different data subsets. It combines their predictions by averaging (for regression) or majority voting (for classification)."
"What is the role of feature importance in Random Forest?","Feature importance in Random Forest quantifies the contribution of each feature to the model's decision-making process, helping in feature selection and understanding the model."
"What is the difference between Bagging and Boosting?","Bagging reduces variance by averaging multiple independent models, while Boosting reduces bias by sequentially improving weak learners. Bagging is parallel; Boosting is sequential."
"What is NumPy and what is it used for?","NumPy is a fundamental Python library for numerical computing. It provides support for arrays, matrices, and a collection of mathematical functions to operate on these data structures."
"How do you create a NumPy array?","A NumPy array can be created using the np.array() function by passing a list or list of lists, e.g., np.array([1, 2, 3])."
"What is pandas and what are its main data structures?","Pandas is a Python library used for data manipulation and analysis. Its main data structures are Series (1D) and DataFrame (2D), which allow for easy handling of labeled data."
"How do you select a column from a pandas DataFrame?","A column from a pandas DataFrame can be selected using either df['column_name'] or df.column_name, where df is the DataFrame."
"What is scikit-learn (sklearn) used for?","Scikit-learn (sklearn) is a Python library used for machine learning. It provides tools for classification, regression, clustering, dimensionality reduction, and model selection."
"How do you split data into training and testing sets using scikit-learn?","Data can be split using sklearn's train_test_split() function, e.g., X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2)."
"What is SciPy and how does it relate to NumPy?","SciPy is a Python library built on top of NumPy, providing additional functionality for scientific computing, including optimization, integration, interpolation, and statistical functions."
"How do you compute the mean of a NumPy array?","The mean of a NumPy array can be computed using np.mean(array), where array is the NumPy array."
"How do you handle missing data in a pandas DataFrame?","Missing data in a pandas DataFrame can be handled using methods like df.dropna() to remove missing values or df.fillna(value) to fill them with a specified value."
"What is the role of the fit() method in scikit-learn?","The fit() method in scikit-learn is used to train a model on the provided dataset by learning the relationship between input features and the target variable."
